id;code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;geometry
42;532;LAVAL;MAYENNE;66606;3021;3056;20269;28702;121654;27497;0;1541;9494;20877;181063;3;53;;list(c(409196.138855901, 455864.302743669, 454635.258610273, 401432.225160135, 398970.68972423, 407320.297064038, 409196.138855901, 6801104.46666105, 6779021.54053465, 6771324.39339194, 6763617.44201162, 6764145.54180272, 6799458.71239034, 6801104.46666105))
43;651;ARGELES;HAUTES PYRENEES;7360;679;412;292;263;9006;12638;110;506;78876;30019;131155;16;65;;list(c(429146.089061457, 441673.019508371, 459810.586174929, 448820.695809505, 441704.498755296, 428969.697675054, 422125.289410514, 412991.857682874, 429146.089061457, 6230184.03858976, 6236711.94578474, 6226532.20738954, 6186101.02749504, 6193323.09383857, 6200124.40123883, 6195005.81104454, 6197310.23226042, 6230184.03858976))
44;644;ORTHEZ;BASSES PYRENEES;36012;154;2097;535;1930;40728;10552;5568;867;34588;25882;118185;32;64;;list(c(366664.007018827, 393559.685868328, 420268.639073439, 408227.302706668, 399927.778403297, 366513.107179435, 366664.007018827, 6270380.13137481, 6294711.6868232, 6277451.60105123, 6257556.86248434, 6254618.80486318, 6265647.35458069, 6270380.13137481))
45;852;FONTENAY LE COMTE;VENDEE;63760;7797;6200;12393;41786;131936;46794;5650;524;4290;21301;210495;4477;85;;list(c(388027.464792731, 405515.619364743, 426592.145921697, 431673.781381803, 407549.074791445, 375329.159472909, 388027.464792731, 6633500.70347774, 6634444.30959204, 6621913.35225246, 6610252.84353453, 6572713.72270438, 6605010.21843292, 6633500.70347774))
46;174;ROCHEFORT;CHARENTE INFERIEURE;26892;1565;923;1358;6833;37571;14167;12451;0;375;9644;74208;1601;17;;list(list(c(372339.323857117, 372391.992605283, 371870.34613731, 372339.323857117, 6551233.28103145, 6550615.35293723, 6550962.09456857, 6551233.28103145)), list(c(407819.238769976, 411120.496891479, 409560.335393191, 401409.935548407, 384133.240895717, 384427.309632723, 385939.515034539, 385269.553802659, 407819.238769976, 6571749.54912325, 6568360.80225914, 6539858.32172955, 6531326.946915, 6542810.87263076, 6543279.41028271, 6557960.32121957, 6558710.18915547, 6571749.54912325)))
47;495;SEGRE;MAINE ET LOIRE;48569;8388;2942;8475;16261;84635;15477;340;273;622;14891;116238;0;49;;list(c(392385.058391878, 398970.68972423, 401432.225160135, 429497.814735976, 407430.711577543, 390022.879067526, 392385.058391878, 6760776.28675634, 6764145.54180272, 6763617.44201162, 6734628.38669674, 6717403.31075692, 6729949.52824853, 6760776.28675634))
48;505;SAINT LO;MANCHE;53228;1374;2348;10388;6758;74096;24550;0;1126;2067;10757;112596;10;50;;list(c(384530.907458668, 397972.153247144, 398987.176727639, 403843.680737918, 426926.203029956, 392542.876386223, 384530.907458668, 6918397.10840546, 6926071.04382827, 6920021.92044164, 6927622.98159201, 6888769.61363838, 6874492.67375122, 6918397.10840546))
49;793;NIORT;DEUX SEVRES;52326;2497;3449;7996;29287;95555;19735;9702;1027;1223;14151;141393;2423;79;;list(c(407549.074791445, 431673.781381803, 456116.351625636, 436771.653028728, 411120.496891479, 407819.238769976, 407549.074791445, 6572713.72270438, 6610252.84353453, 6596939.01865357, 6564539.86423317, 6568360.80225914, 6571749.54912325, 6572713.72270438))
50;175;SAINTES;CHARENTE INFERIEURE;59633;4223;1362;5525;9079;79822;14391;29470;40;3650;28058;155431;1966;17;;list(c(401409.935548407, 409560.335393191, 431138.929034572, 424592.993261896, 405691.276051955, 393255.421931766, 392028.846341652, 401409.935548407, 6531326.946915, 6539858.32172955, 6528949.02540453, 6505555.53345267, 6496941.75104033, 6502864.53652783, 6504158.19766274, 6531326.946915))
51;333;BORDEAUX;GIRONDE;28453;6572;4519;1589;9084;50217;17498;45212;663;194919;114987;423496;2150;33;;list(c(374623.016643406, 428549.062203538, 434427.56317512, 432377.493929957, 376084.97206364, 369944.265368306, 359920.521155646, 361797.688121494, 362002.621564167, 369613.579013239, 366350.476617237, 366862.173852928, 374623.016643406, 6432883.17653833, 6442019.11420874, 6404256.40486455, 6401631.38656498, 6369911.02778551, 6369805.81723441, 6373315.16541796, 6383383.96504773, 6390836.71180658, 6413804.05797783, 6425567.87546966, 6428896.93439912, 6432883.17653833))
