code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches
295;QUIMPERLE ;FINISTERE;18331;827;399;143;7324;27024;4470;0;2634;28319;12625;75072;81
300;GARD;;78139;7717;2565;19085;35579;143085;9031;77794;68841;121267;163538;583556;2436
301;ALES ;GARD;8543;1405;356;2169;6540;19013;3208;10495;32215;16786;49416;131133;0
302;NIMES ;GARD;31076;1192;1055;8065;8398;49786;2323;44686;4816;36614;25428;163653;2400
303;UZES ;GARD;28491;3476;974;6631;12198;51770;1037;17660;7479;23885;46724;148555;36
304;LE VIGAN ;GARD;10029;1644;180;2220;8443;22516;2463;4953;24331;43982;41970;140215;0
310;HAUTE GARONNE;;213601;22044;8310;32986;87339;364280;42124;52000;2648;23644;144293;628989;0
311;MURET ;HAUTE GARONNE;61167;5557;2234;9323;27554;105835;6609;16969;94;4196;29534;163237;0
312;SAINT GAUDENS ;HAUTE GARONNE;47890;6807;2042;4134;20759;81632;24181;7685;2507;13146;83653;212804;0
313;TOULOUSE ;HAUTE GARONNE;59353;6467;3192;10621;23075;102708;8347;21803;43;5143;21290;159334;0
314;VILLEFRANCHE ;HAUTE GARONNE;45191;3213;842;8908;15951;74105;2987;5543;4;1159;9816;93614;0
320;GERS;;217357;14761;7640;21206;80433;341397;61579;94592;278;33864;96321;628031;1158
321;AUCH ;GERS;50029;2743;1536;3872;15150;73330;12347;20095;0;5107;19622;130501;0
322;CONDOM ;GERS;42263;2712;1864;2565;15008;64412;14703;30901;131;17282;22532;149961;558
323;LECTOURE ;GERS;39684;3662;1425;2822;13829;61422;10236;12379;6;1628;12841;98512;0
324;LOMBEZ ;GERS;30971;3461;1022;5987;12976;54417;5743;6757;0;1740;11103;79760;0
325;MIRANDE ;GERS;54410;2183;1793;5960;23470;87816;18550;24460;141;8107;30223;169297;600
330;GIRONDE;;147189;23653;13155;12101;40626;236724;68291;137706;1415;279467;250429;974032;4691
331;BAZAS ;GIRONDE;22997;1962;4612;1168;3032;33771;8959;8334;375;30202;66756;148397;125
332;BLAYE ;GIRONDE;21170;3625;562;468;2376;28201;9481;17787;56;3295;12908;71728;210
333;BORDEAUX ;GIRONDE;28453;6572;4519;1589;9084;50217;17498;45212;663;194919;114987;423496;2150
334;LESPARRE ;GIRONDE;19041;2400;814;1179;8755;32189;7859;12314;0;45580;22473;120415;2206
335;LIBOURNE ;GIRONDE;31678;7087;1741;4911;9893;55310;15510;35957;87;3932;18224;129020;0
336;LA REOLE ;GIRONDE;23850;2007;907;2786;7486;37036;8984;18102;234;1539;15081;80976;0
340;HERAULT;;87216;4498;2392;16916;51559;162581;12299;106485;24763;188767;124905;619800;1974
341;BEZIERS ;HERAULT;32392;618;977;7228;18744;59959;1728;52957;10167;27019;26752;178582;960
342;LODEVE ;HERAULT;16723;1094;367;2044;9799;30027;1396;16340;3092;53979;14964;119798;0
343;MONTPELLIER ;HERAULT;23639;875;800;5991;12163;43468;3687;29622;3847;55918;63173;199715;1014
344;SAINT PONS ;HERAULT;14462;1911;248;1653;10853;29127;5488;7566;7657;51851;20016;121705;0
350;ILLE ET VILAINE;;294304;11827;17594;25203;64998;413926;71872;190;4363;94543;87689;672583;1009
351;FOUGERES ;ILLE ET VILAINE;45559;1776;1889;7252;11702;68178;10730;0;200;8213;12316;99637;193
352;MONTFORT ;ILLE ET VILAINE;41799;612;1583;2706;11936;58636;7848;0;532;13225;14394;94635;1
353;REDON ;ILLE ET VILAINE;46430;2286;1381;632;4441;55170;14748;190;379;47493;14977;132957;415
354;RENNES ;ILLE ET VILAINE;65511;1830;3779;5283;12713;89116;16612;0;2362;12561;16935;137586;86
355;SAINT MALO ;ILLE ET VILAINE;44293;3524;5774;4965;10310;68866;6087;0;404;6017;11547;92921;300
356;VITRE ;ILLE ET VILAINE;50712;1799;3188;4365;13896;73960;15847;0;486;7034;17520;114847;14
360;INDRE;;220209;7629;7499;24309;116126;375772;89714;17839;2640;64613;128952;679530;13483
361;LE BLANC ;INDRE;50780;2084;2416;5029;30451;90760;24352;4451;23;25788;38688;184062;9736
362;CHATEAUROUX ;INDRE;79704;2232;2214;8747;40549;133446;26801;5683;126;26070;53402;245528;3385
363;LA CHATRE ;INDRE;39065;2135;1953;4452;25565;73170;28399;2075;2475;8145;17800;132064;12
364;ISSOUDUN ;INDRE;50660;1178;916;6081;19561;78396;10162;5630;16;4610;19062;117876;350
370;INDRE ET LOIRE;;216406;20034;6613;27688;86646;357387;33857;36885;3111;47304;132826;611370;1248
371;CHINON ;INDRE ET LOIRE;53402;7701;3579;8578;19761;93021;9967;11430;216;11614;43000;169248;1120
372;LOCHES ;INDRE ET LOIRE;70783;4645;225;6204;30957;112814;8790;4258;0;23195;30777;179834;0
373;TOURS ;INDRE ET LOIRE;92221;7688;2809;12906;35928;151552;15100;21197;2895;12495;59049;262288;128
380;ISERE;;197578;22026;8211;38864;47188;313867;66521;26091;8030;110508;303917;828934;6582
381;GRENOBLE ;ISERE;50640;6551;2969;12711;15039;87910;31886;9855;3542;95581;182354;411128;1608
382;SAINT-MARCELLIN ;ISERE;27966;3664;1718;6073;6631;46052;9327;7485;1313;3169;39811;107157;159
383;LA TOUR DU PIN ;ISERE;52214;4813;1154;5212;8623;72016;14954;2915;1967;7283;34042;133177;1715
384;VIENNE ;ISERE;66758;6998;2370;14868;16895;107889;10354;5836;1208;4475;47710;177472;3100
390;JURA;;114168;11358;7499;29671;27127;189823;48076;19609;609;64115;177169;499401;1247
391;DOLE ;JURA;33592;2291;3508;3397;9482;52270;10164;4550;138;2146;48665;117933;130
392;LONS LE SAUNIER ;JURA;43809;5529;2216;6910;5351;63815;16693;9834;256;24736;39039;154373;451
393;POLIGNY ;JURA;23746;1307;1570;12310;6463;45396;12252;5147;154;8603;51764;123316;550
394;SAINT CLAUDE ;JURA;13021;2231;205;7054;5831;28342;8967;78;61;28630;37701;103779;116
400;LANDES;;126984;12161;11723;2733;14513;168114;27960;20136;3542;383156;329223;932131;10175
401;DAX ;LANDES;39033;2066;2943;660;1837;46539;11568;5752;1294;59476;106499;231128;3908
402;MONT DE MARSAN ;LANDES;45212;1209;5269;365;5542;57597;9836;6578;687;273129;182040;529867;4474
